model,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std,timestamp
Linear Regression,0.06952356408297297,0.04871325629269251,0.31998948800561505,0.008594215830028175,2026-06-06T20:17:04
Random Forest,0.09972067738864288,0.04028909935767766,0.31482322529834744,0.009021392003481841,2026-06-06T20:17:21
Bagging,0.09417715977689933,0.048601275562090346,0.31575063150930605,0.010020238550319223,2026-06-06T20:17:25
AdaBoost,0.08259413975844128,0.03184882649190689,0.31790557923680784,0.010314436609850978,2026-06-06T20:17:36
HistGradientBoosting,0.07006038662274124,0.0536428648776883,0.3199920358950999,0.012994513527278819,2026-06-06T20:17:49
XGBoost,0.09177883698577663,0.028242497014381182,0.31630407467834926,0.009448103804249831,2026-06-06T20:17:52
LightGBM,0.08116344422592225,0.033874695144004534,0.31809909346456716,0.00893387098164179,2026-06-06T20:18:20
CatBoost,0.10423643459970997,0.027487996842817292,0.31408275810705344,0.007695306132726242,2026-06-06T20:19:14
SVR (RBF),0.06800702915843777,0.055662233545986615,0.3201837934998303,0.00841754989430165,2026-06-06T20:19:20
