state,n,default_rate,avg_lgd,lat,lon,default_pct
AK,24,0.0417,0.003,61.37,-152.4,4.17
AL,701,0.0157,0.738,32.81,-86.79,1.57
AR,364,0.011,0.376,34.97,-92.37,1.1
AZ,2171,0.0286,0.59,33.73,-111.43,2.86
CA,12582,0.0273,0.562,36.12,-119.68,2.73
CO,1499,0.0193,0.363,39.06,-105.31,1.93
CT,788,0.014,0.516,41.6,-72.76,1.4
DC,156,0.0256,0.728,38.9,-77.03,2.56
DE,110,0.0273,0.638,39.32,-75.51,2.73
FL,6175,0.0327,0.776,27.77,-81.69,3.27
GA,2649,0.023,0.539,33.04,-83.64,2.3
HI,325,0.0369,0.68,21.09,-157.5,3.69
IA,157,0.0318,0.387,42.01,-93.21,3.18
ID,157,0.0318,0.625,44.24,-114.48,3.18
IL,2354,0.0246,0.84,40.35,-88.99,2.46
IN,932,0.0247,0.701,39.85,-86.26,2.47
KS,255,0.0118,0.716,38.53,-96.73,1.18
KY,294,0.017,0.621,37.67,-84.67,1.7
LA,755,0.0185,0.517,31.17,-91.87,1.85
MA,1042,0.0202,0.572,42.23,-71.53,2.02
MD,1591,0.0251,0.575,39.06,-76.8,2.51
ME,119,0.0588,0.827,44.69,-69.38,5.88
MI,1615,0.0297,0.807,43.33,-84.54,2.97
MN,781,0.0371,0.519,45.69,-93.9,3.71
MO,836,0.0323,0.616,38.46,-92.29,3.23
MS,374,0.0187,0.541,32.74,-89.68,1.87
MT,36,0.0278,0.486,46.92,-110.45,2.78
NC,1397,0.0172,0.382,35.63,-79.81,1.72
ND,15,0.0,,47.53,-99.78,0.0
NE,67,0.0299,0.234,41.13,-98.27,2.99
NH,285,0.014,0.548,43.45,-71.56,1.4
NJ,1510,0.0232,0.704,40.3,-74.52,2.32
NM,290,0.0172,0.603,34.84,-106.25,1.72
NV,1572,0.0382,0.622,38.31,-117.06,3.82
NY,2947,0.0193,0.552,42.17,-74.95,1.93
OH,1726,0.0261,0.931,40.39,-82.76,2.61
OK,283,0.0318,0.791,35.57,-96.93,3.18
OR,963,0.0208,0.513,44.57,-122.07,2.08
PA,1714,0.0117,0.66,40.59,-77.21,1.17
RI,93,0.0215,0.322,41.68,-71.51,2.15
SC,638,0.0204,0.622,33.86,-80.95,2.04
SD,20,0.05,0.577,44.3,-99.44,5.0
TN,700,0.0257,0.542,35.75,-86.69,2.57
TX,3893,0.0167,0.5,31.05,-97.56,1.67
UT,340,0.0265,0.454,40.15,-111.86,2.65
VA,2070,0.0169,0.458,37.77,-78.17,1.69
VT,40,0.0,,44.05,-72.71,0.0
WA,1562,0.025,0.391,47.4,-121.49,2.5
WI,342,0.0351,0.667,44.27,-89.62,3.51
WV,54,0.0556,0.76,38.49,-80.95,5.56
WY,51,0.0196,,42.76,-107.3,1.96
